team,split_type,split_value,games,pts_avg,opp_pts_avg,margin_avg,pace_avg,total_avg,win_rate,efg_avg,tov_rate_proxy_avg,three_rate_avg,ft_rate_avg
MIN,opponent,DAL,3,91.66666666666667,79.66666666666667,12.0,81.16666666666667,171.33333333333334,1.0,0.5775783372007267,0.14635115968880635,0.2469218246901588,0.26665902181929385
MIN,opponent,GSV,2,84.0,79.5,4.5,77.0,163.5,1.0,0.46373892022562446,0.13560185613592401,0.27367042707493955,0.2992546333601934
MIN,opponent,LAS,2,97.5,85.0,12.5,84.75,182.5,1.0,0.5884395424836601,0.1632858349777032,0.3296568627450981,0.27369281045751637
MIN,opponent,LVA,1,97.0,100.0,-3.0,77.5,197.0,0.0,0.5472972972972973,0.10879025239338555,0.28378378378378377,0.24324324324324326
MIN,opponent,NYL,2,88.0,92.0,-4.0,78.0,180.0,0.5,0.49028132992327367,0.10710135982869577,0.3852514919011083,0.2196078431372549
MIN,opponent,PDX,2,104.0,83.5,20.5,82.0,187.5,1.0,0.6085281385281385,0.12032330618472942,0.30268398268398267,0.22952380952380952
MIN,opponent,PHX,3,101.0,87.0,14.0,80.5,188.0,1.0,0.6401900441514216,0.14597433523846037,0.3395538825532589,0.3298784350993902
MIN,opponent,SEA,1,88.0,68.0,20.0,80.0,156.0,1.0,0.5324675324675324,0.1297016861219196,0.35064935064935066,0.1038961038961039
MIN,opponent,TOR,1,100.0,72.0,28.0,77.5,172.0,1.0,0.6231884057971014,0.1517779705117086,0.34782608695652173,0.30434782608695654
MIN,opponent,WAS,2,78.5,80.0,-1.5,84.0,158.5,0.5,0.45070422535211263,0.13667989191463048,0.35915492957746475,0.2535211267605634
MIN,overall,all,26,91.1923076923077,82.34615384615384,8.846153846153847,81.1923076923077,173.53846153846155,0.7692307692307693,0.5460814622268184,0.14258734792479366,0.3186308012356722,0.2644282131569626
MIN,result,L,6,86.66666666666667,91.66666666666667,-5.0,81.5,178.33333333333334,0.0,0.49999457803364233,0.1294118469909201,0.32088537424136837,0.2154306007513893
MIN,result,W,20,92.55,79.55,13.0,81.1,172.1,1.0,0.5599075274847712,0.14653999820495572,0.31795442933396345,0.2791274968786346
